x, rex, cf
0.056786739,	20443.22613,	0.005199027
0.100918454,	36330.6436,	0.003712405
0.18333698,	66001.31269,	0.002624995
0.285917747,	102930.3888,	0.002280028
0.379328983,	136558.434,	0.002049535
0.46410692,	167078.4912,	0.002219219
0.56818913,	204548.0869,	0.002674221
0.673451047,	242442.3767,	0.00375777
0.769328941,	276958.4186,	0.004841512
0.872553183,	314119.146,	0.004839388
0.966178912,	347824.4083,	0.004723177
1.068974171,	384830.7015,	0.004492491
1.181367944,	425292.4598,	0.004375893
1.274993672,	458997.7221,	0.004259681
1.368726647,	492741.593,	0.00420061
1.471736398,	529825.1033,	0.004084205

